Country,CountryCode,Total,Russian Federation,Ukraine,Kazakhstan,Poland,Romania
Albania,8,57616,0,0,0,0,0
Andorra,20,42082,0,0,0,0,0
Austria,40,1492374,30972,8232,1103,65989,70267
Belarus,112,1082905,682362,225734,69957,478,23
Belgium,56,1387940,21168,4981,2784,68538,57125
Bosnia and Herzegovina,70,34803,161,0,0,0,367
Bulgaria,100,102113,20549,6400,1122,1518,5660
Channel Islands,830,82307,0,0,0,0,0
Croatia,191,576883,1311,758,67,737,499
Czech Republic,203,405093,31669,97474,6307,19224,5125
Denmark,208,572520,5764,6870,211,32426,13999
Estonia,233,202348,143677,21683,3803,556,59
Faeroe Islands,234,5517,30,0,0,68,61
Finland,246,315881,14360,1822,303,4931,2976
France,250,7784418,63993,15880,2583,111648,89793
Germany,276,12005690,1080503,261147,1016844,1930136,590189
Greece,300,1242514,54192,19457,26982,15664,46193
Holy See,336,800,0,0,0,0,0
Hungary,348,449632,3300,34369,520,3199,204603
Iceland,352,37522,381,272,20,10440,320
Ireland,372,746260,6570,4564,259,127507,19919
Isle of Man,833,45221,0,0,0,0,0
Italy,380,5788875,80750,222241,3851,118641,1021613
Latvia,428,263126,137224,33493,5919,1034,260
Liechtenstein,438,23493,51,37,0,58,31
Lithuania,440,136036,59466,12248,4541,2228,181
Luxembourg,442,249325,392,175,0,3155,1742
Malta,470,41442,1107,336,0,290,791
Monaco,492,21042,0,0,0,0,0
Montenegro,499,82541,925,141,0,98,106
Netherlands,528,1979486,56841,1208,228,98435,14757
Norway,578,741813,17200,4236,896,91213,12087
Poland,616,619403,38146,206518,4604,0,2480
Portugal,620,837257,5494,45051,845,943,22038
Republic of Moldova,498,142904,59259,64009,5183,208,1350
Romania,642,226943,5145,9641,35,166,0
Russia,643,11643276,0,3269992,2560269,29207,3911
San Marino,674,4717,46,60,0,26,120
Serbia,688,807441,2944,1274,97,664,3607
Slovakia,703,177190,2771,10001,242,6739,8152
Slovenia,705,235966,1785,1764,81,424,524
Spain,724,5852953,73266,77420,1797,64960,658132
Sweden,752,1639771,19457,6982,1892,83542,25223
Switzerland,756,2438702,19234,7367,2402,26401,14849
The former Yugoslav Republic of Macedonia,807,130730,215,64,0,100,23
Ukraine,804,4834898,3276758,0,222245,3078,0
United Kingdom,826,8543120,42491,23414,5432,703050,89402
Kosovo,383,0,0,0,0,0,0
